Date,S,V,Delta,Hedging Error,Cumulative Hedging Error,PNL
0,100,4.39167,0.428711,0,0,0
1,101.395,4.97988,0.464032,0.00586428,0.00586428,0.588204
2,100.769,4.66024,0.44696,0.0252292,0.0310935,0.26857
3,100.162,4.35929,0.430171,0.0252609,0.0563543,-0.0323819
4,98.5708,3.67552,0.387462,-0.00437216,0.0519822,-0.71615
5,94.3252,2.23414,0.278775,-0.207081,-0.155098,-2.15753
6,92.4099,1.71934,0.232556,-0.0215526,-0.176651,-2.67234
7,94.534,2.23797,0.280757,-0.0266605,-0.203311,-2.1537
8,95.4622,2.48022,0.302193,0.0159044,-0.187407,-1.91145
9,96.5725,2.80072,0.329039,0.0123693,-0.175038,-1.59095
10,99.0408,3.65892,0.393097,-0.0489618,-0.224,-0.732757
11,98.6668,3.48019,0.381824,0.0281853,-0.195814,-0.911482
12,99.9335,3.95036,0.415146,0.0100305,-0.185784,-0.441319
13,98.0683,3.19037,0.363114,-0.0181013,-0.203885,-1.2013
14,99.8382,3.84029,0.410354,-0.0104965,-0.214381,-0.551389
15,102.361,4.9261,0.479603,-0.0541266,-0.268508,0.534425
16,103.574,5.4892,0.512625,0.0140102,-0.254498,1.09753
17,105.342,6.39856,0.560671,-0.00790095,-0.262399,2.00689
18,102.28,4.77225,0.475043,-0.0959516,-0.35835,0.38058
19,103.402,5.28395,0.506121,0.0171464,-0.341204,0.892274
20,101.087,4.15063,0.439228,-0.043104,-0.384308,-0.24104
21,101.906,4.48137,0.461895,0.0250101,-0.359298,0.0896975
22,103.034,4.98099,0.493714,0.0171436,-0.342154,0.589314
23,100.541,3.80246,0.4202,-0.0570312,-0.399185,-0.589209
24,101.496,4.17784,0.447123,0.0217654,-0.37742,-0.213838
25,101.491,4.13676,0.446,0.0350041,-0.342416,-0.254913
26,101.806,4.23909,0.454384,0.034071,-0.308345,-0.152582
27,101.129,3.89906,0.433099,0.0281434,-0.280202,-0.492617
28,100.203,3.47236,0.404088,0.0214406,-0.258761,-0.91931
29,100.348,3.49266,0.407166,0.0346653,-0.224096,-0.899019
30,101.824,4.0859,0.450953,0.00385731,-0.220238,-0.305776
31,101.285,3.80706,0.433318,0.0316385,-0.1886,-0.584616
32,102.113,4.13498,0.457856,0.0268288,-0.161771,-0.256696
33,101.992,4.03832,0.453078,0.0370477,-0.124723,-0.353353
34,104.503,5.23032,0.53056,-0.0587218,-0.183445,0.838644
35,104.442,5.15416,0.528204,0.038878,-0.144567,0.762485
36,103.06,4.41055,0.483971,0.00845114,-0.136116,0.0188753
37,101.908,3.8318,0.446082,0.0168226,-0.119293,-0.559876
38,102.592,4.10097,0.467135,0.0318378,-0.0874557,-0.290702
39,103.985,4.73815,0.51149,0.0091783,-0.0782774,0.346472
40,102.01,3.74769,0.445946,-0.0247789,-0.103056,-0.643981
41,101.934,3.67024,0.442246,0.0394652,-0.0635911,-0.721432
42,100.181,2.90427,0.382673,-0.0135385,-0.0771296,-1.48741
43,100.534,2.99934,0.392736,0.0367447,-0.0403848,-1.39233
44,99.9023,2.71615,0.369927,0.0312407,-0.00914412,-1.67553
45,100.236,2.79914,0.379302,0.0371325,0.0279884,-1.59253
46,99.2676,2.40663,0.344897,0.0215823,0.0495707,-1.98504
47,98.7886,2.20519,0.32686,0.0330686,0.0826393,-2.18648
48,99.0785,2.26041,0.334293,0.0365278,0.119167,-2.13126
49,100.955,2.90281,0.39698,-0.0181911,0.100976,-1.48887
50,101.93,3.2599,0.430064,0.0263183,0.127294,-1.13177
51,101.728,3.12683,0.421249,0.0421393,0.169434,-1.26485
52,103.82,4.03761,0.496314,-0.033488,0.135946,-0.354068
53,103.616,3.88694,0.487911,0.0446791,0.180625,-0.504737
54,103.544,3.80145,0.484265,0.0458362,0.226461,-0.590221
55,104.549,4.25506,0.521075,0.0284242,0.254885,-0.136615
56,104.583,4.22012,0.52173,0.0474133,0.302298,-0.171554
57,107.159,5.63422,0.616925,-0.075207,0.227091,1.24255
58,105.363,4.53163,0.550528,-0.0109778,0.216114,0.139956
59,104.137,3.83174,0.502347,0.0195329,0.235647,-0.559936
60,106.129,4.85482,0.579695,-0.0271113,0.208535,0.463149
61,108.149,6.04755,0.655524,-0.0275747,0.180961,1.65588
62,104.778,3.99517,0.525816,-0.164063,0.0168976,-0.396504
63,105.625,4.39776,0.559802,0.0375349,0.0544326,0.00608236
64,104.297,3.63328,0.504497,0.0156856,0.0701182,-0.758394
65,105.175,4.03385,0.540772,0.0374419,0.10756,-0.357821
66,103.73,3.23901,0.47816,0.00860597,0.116166,-1.15267
67,103.642,3.13839,0.472972,0.0539011,0.170067,-1.25328
68,104.985,3.75231,0.531308,0.0166055,0.186673,-0.639363
69,106.288,4.41983,0.588311,0.0194899,0.206162,0.0281575
70,106.232,4.32452,0.58629,0.0568143,0.262977,-0.0671493
71,108.431,5.65589,0.680711,-0.0482471,0.21473,1.26422
72,110.017,6.7264,0.744119,0.00222049,0.21695,2.33472
73,108.399,5.50935,0.683516,0.00553876,0.222489,1.11768
74,107.084,4.58179,0.627876,0.0222328,0.244722,0.190119
75,108.73,5.6116,0.702244,-0.00248061,0.242241,1.21992
76,106.409,4.03142,0.598205,-0.0570222,0.185219,-0.360256
77,107.243,4.47776,0.63995,0.0465367,0.231756,0.0860883
78,108.959,5.57806,0.721174,-0.00850811,0.223247,1.18639
79,106.063,3.6111,0.583079,-0.128743,0.0945041,-0.780569
80,105.887,3.43416,0.574313,0.0686903,0.163194,-0.957517
81,107.408,4.29438,0.657053,0.00716184,0.170356,-0.0972966
82,106.037,3.36499,0.584247,0.0223183,0.192675,-1.02669
83,107.782,4.39254,0.683092,-0.013667,0.179008,0.000862525
84,106.197,3.29578,0.596176,0.00708198,0.18609,-1.09589
85,103.88,1.99599,0.449272,-0.0877046,0.0983849,-2.39569
86,104.01,1.96805,0.454701,0.0817547,0.18014,-2.42362
87,104.763,2.23816,0.503913,0.0678187,0.247958,-2.15351
88,105.683,2.63618,0.568449,0.0606339,0.308592,-1.7555
89,106.593,3.08586,0.635353,0.0616988,0.370291,-1.30581
90,106.893,3.18113,0.661684,0.0890364,0.459327,-1.21054
91,108.007,3.86698,0.746181,0.0443728,0.5037,-0.524694
92,107.709,3.5475,0.736741,0.0894539,0.593154,-0.84417
93,106.996,2.92916,0.693722,0.0858765,0.679031,-1.46251
94,107.179,2.94146,0.721432,0.107376,0.786407,-1.45021
95,107.505,3.06436,0.76618,0.105054,0.891461,-1.32732
96,109.817,4.95638,0.933947,-0.128525,0.762936,0.564711
97,110.129,5.19802,0.967004,0.0399245,0.802861,0.806342
98,110.277,5.30704,0.989403,0.0247768,0.827637,0.915369
99,111.147,6.15708,0.999916,-0.000431554,0.827206,1.76541
